country,year,diff_gdp_t,diff_gdp_t1,gdp_iv,trade_diff,trade_iv
Albania,2010,0.058621750872532276,0.016858890812800453,7.5085071207122365,1.4728955579000007,39.36946221726357
Albania,2019,0.03485075963738282,0.058621750872532276,8.623506579107278,0.6561986479999987,54.42197773
Algeria,2010,0.02265048875279536,-0.0014628763479107576,8.227565292989,1.2776094317000002,49.96985322227929
Algeria,2019,0.004734092875414398,0.02265048875279536,9.369780955274402,-0.7444632621000004,50.095826029
Angola,2010,0.048848864657216495,-0.02081072966294357,8.066753603119254,,
Angola,2019,-0.01381308555925127,0.048848864657216495,9.032256568687405,-2.735250535325001,
Argentina,2010,0.023046025748090317,0.02701096681183728,9.237546768935978,1.7677530613999999,15.190975511995418
Argentina,2019,-0.005219006190804976,0.023046025748090317,9.741397027142563,-0.6824724111999998,18.717923434
Armenia,2010,0.0821843110114557,-0.029076992770055377,,-2.2081034990999995,81.3357185450209
Armenia,2019,0.044045194721095984,0.0821843110114557,8.722189139871064,1.1949108354000004,88.997593731
Aruba,2010,-0.010004494416634913,0.012656676987229432,,-2.999771031999998,
Aruba,2019,0.015522062230189171,-0.010004494416634913,10.40617015944966,0.6500245939999985,168.66290257999998
Australia,2010,0.01564985634773066,0.02179330708457865,10.335172531543154,0.5268715045000001,31.479609540895726
Australia,2019,0.009592061081406377,0.01564985634773066,10.49868394911324,0.08125798840000016,36.163768929
Austria,2010,0.01095202783302831,0.021313712116461582,10.14169558238011,2.1504833954000007,66.98296640877284
Austria,2019,0.007851587836860574,0.01095202783302831,10.674941514382411,1.2262584367999991,70.990110113
Azerbaijan,2010,0.1259113477901547,-0.06444463980713806,,0.6551106128999991,83.0832196452933
Azerbaijan,2019,0.0008799233798141515,0.1259113477901547,9.285083000550049,-1.5248595634999986,89.54629323
Bahamas,2010,-0.005604620646291458,0.004507982969298219,10.210659151682384,-1.7854871372999994,121.88575481737462
Bahamas,2019,0.0014899427140163013,-0.005604620646291458,10.406447108046818,-0.2788707158999998,96.894811147
Bahrain,2010,-0.013388678243500962,0.03256601442941935,10.02357841611149,-0.7120788279999971,178.321390178646
Bahrain,2019,0.011263347482370633,-0.013388678243500962,10.642003443858782,1.5189480769999988,143.10548040999998
Bangladesh,2010,0.04191473549120417,0.027058768649459886,6.004446836972859,0.9941130021999995,18.84167157265115
Bangladesh,2019,0.05053645072483413,0.04191473549120417,7.635198712129776,0.5158947811000004,24.065688317000003
Belarus,2010,0.0764233229489875,-0.009944248348810091,,1.4569534733999987,89.6073903002309
Belarus,2019,0.01097786341189817,0.0764233229489875,9.421543779439752,0.06677958800000283,114.980762706
Belgium,2010,0.010853546337952125,0.019203374996446598,10.107752293598734,2.4178623279999982,117.16175344637936
Belgium,2019,0.0072680492953443475,0.010853546337952125,10.636817924264907,1.7191230139999987,118.85317101000001
Belize,2010,0.0047263033184705705,0.03200136530502231,8.06696215474694,1.2995096285000016,75.74970414626115
Belize,2019,-0.0012474062493831538,0.0047263033184705705,9.018164535865964,0.8396533086999994,81.65177327399999
Benin,2010,0.007495528990574219,0.013898969759304335,6.5978148331404505,-1.2524754672999996,50.22334462531544
Benin,2019,0.018257025573410423,0.007495528990574219,7.699420200526585,1.3519410563,56.660289868999996
Bermuda,2010,0.007797457952380427,0.020630566656955195,11.347882720683675,,
Bermuda,2019,-0.010381060051530255,0.007797457952380427,11.28662045275071,,
Bhutan,2010,0.06357528595371935,0.043824160146746574,6.070365010719889,0.8867865772999991,66.02339396023503
Bhutan,2019,0.03768350564102292,0.06357528595371935,8.13487328268656,-0.10145079079999988,80.498006191
Bolivia,2010,0.02086084895505813,0.01817756161114481,7.627932469392726,1.3224332015000002,47.28571831717468
Bolivia,2019,0.02566308302221909,0.02086084895505813,8.739873349940591,0.5274956419999995,48.710043625
Bosnia and Herzegovina,2010,0.04387148804460548,0.11767670682344625,,-2.620909231,
Bosnia and Herzegovina,2019,0.033819374275776505,0.04387148804460548,7.789018150788553,0.8141254762000003,108.22416656
Botswana,2010,0.009810686031146964,0.022577628973549403,7.6023994149062855,-0.5425030143,117.38268913531361
Botswana,2019,0.021899530380655285,0.009810686031146964,9.261120782861473,1.0737319342000007,96.347105771
Brazil,2010,0.025437983869063884,0.010310392740171181,8.775372001570878,0.8690554837999998,18.35422441379971
Brazil,2019,-0.00024133193524633612,0.025437983869063884,9.444090550417208,-0.06931968819999987,17.589214412
Brunei Darussalam,2010,-0.012441973884679314,-0.01636714451519694,11.344310222364681,1.6218556301999996,52.75299480956608
Brunei Darussalam,2019,-0.009910505352986654,-0.012441973884679314,11.679826089705175,1.0913746795000008,70.738851883
Bulgaria,2010,0.05476082850491224,-0.017421642862719723,8.139510354375565,1.3384180035000015,78.66530943991349
Bulgaria,2019,0.029402140327318804,0.05476082850491224,9.612801137563533,2.8246042374,82.200829171
Burkina Faso,2010,0.0271383207174698,0.025425021790819003,5.735943982859919,-0.16303451060000002,38.38342024404304
Burkina Faso,2019,0.024387599408879624,0.0271383207174698,7.010181809211052,2.4524142050999997,35.898599677
Cabo Verde,2010,0.04498332559429539,0.08918128350066859,6.366049510057376,1.8435305653,91.23077663102535
Cabo Verde,2019,0.02533911061624714,0.04498332559429539,7.522269693932923,-0.25766202630000096,78.455061646
Cambodia,2010,0.06580633618786144,-0.03197032465149343,6.5348960967867695,5.052162188714284,
Cambodia,2019,0.05524609665456968,0.06580633618786144,7.880841376491104,-0.46131523199999835,72.69308430285714
Cameroon,2010,0.011446904596539475,-0.01669641852693715,7.174482061387256,0.9056286744999994,49.810377354260034
Cameroon,2019,0.0130137889487278,0.011446904596539475,8.415740337117382,-0.1583377460999998,38.391833465000005
Canada,2010,0.00824402435094651,0.017879818893690745,10.226381353867511,0.599888915599999,50.85658024309069
Canada,2019,0.009131636472391059,0.00824402435094651,10.608442555317769,-0.6512867552000003,64.64529488000001
Cayman Islands,2010,,,,,
Cayman Islands,2019,0.0015374755723112088,,,,
Central African Republic,2010,0.017185671744613183,-0.01730989197710322,6.309647458648201,-0.9997521397999997,52.74230594003504
Central African Republic,2019,-0.02561576864867012,0.017185671744613183,7.300643327076052,0.8805176411999994,46.592871583
Chad,2010,0.05897452320554288,-0.012736185487789431,6.17411393872311,3.3362063498999994,41.931472154993514
Chad,2019,-0.0042424701947856745,0.05897452320554288,7.445049430540351,-2.9390569749,45.746335104
Chile,2010,0.03192634890721937,0.04700619769762131,8.439705805756995,1.3781838312000005,50.45667354551329
Chile,2019,0.015707158277280087,0.03192634890721937,9.301337240084546,-0.6068185514000006,55.121878967
China,2010,0.09464481074437217,0.08916863793826693,6.0789986329865835,1.9724114123999996,22.405228296555983
China,2019,0.058583065441010794,0.09464481074437217,7.418737535080643,-0.9514923895999999,31.909172093000002
Colombia,2010,0.02609064592171766,0.007832866431691876,8.101832796633115,0.07206238739999975,28.818930651461958
Colombia,2019,0.02111284926253596,0.02609064592171766,9.210221434603413,0.11566735599999944,35.321093666
Comoros,2010,0.010058513310597927,-0.008566657039641523,7.066016512005491,-1.7383999995956855e-06,35.75684986848835
Comoros,2019,0.008777914409323984,0.010058513310597927,8.043843716345757,0.4163491375999996,35.757233428
Congo,2010,0.012559055376534367,-0.01389985861874532,7.561105261768252,2.6339829991000014,101.53316205640377
Congo,2019,-0.021264973793264908,0.012559055376534367,9.071023916841847,-2.7107152321000014,107.73312457899999
Costa Rica,2010,0.028603630359214982,0.024674288199021177,8.734210799903234,0.2683836422000013,72.2092559005076
Costa Rica,2019,0.022479840639689642,0.028603630359214982,9.301407581280392,-1.8486316206000013,81.119209187
